# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 25K of event 'cycles'
# Event count (approx.): 1466031924
#
# Overhead  Command  Shared Object        Symbol                                                                                         
# ........  .......  ...................  ...................................................................................................................................................................................................................................................................................
#
     0.00%  node     ld-2.19.so           [.] 0x00008338                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000083e0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000083ec                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00008434                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00008edc                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00009178                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000931c                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000093b8                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000094a8                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000098c8                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00009938                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00009c98                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00009ca0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00009ce0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00009cec                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000a860                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000aa5c                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000b2c0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000d0fc                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000d314                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00010574                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000105f0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000105f4                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000107f4                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000108ac                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000108b8                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000108d4                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00010b04                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00010b18                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00010bf8                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00010da0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00010db8                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00010f98                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00010fc0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00015ac0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000160b4                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000189e0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00018c34                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000191e0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0001967c                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00019698                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00019714                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00019720                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00019778                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000197fc                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00019ad8                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] __fsnotify_parent                                                                                                                                                                                                                                                              
     0.00%  node     [kernel.kallsyms]    [k] __strnlen_kernel_nocheck_asm                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] do_cow_fault.isra.99                                                                                                                                                                                                                                                           
     0.00%  node     [kernel.kallsyms]    [k] get_unmapped_area                                                                                                                                                                                                                                                              
     0.00%  node     [kernel.kallsyms]    [k] setup_arg_pages                                                                                                                                                                                                                                                                
     0.00%  node     [kernel.kallsyms]    [k] sys_mips_mmap                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] unmap_region                                                                                                                                                                                                                                                                   
     0.00%  node     ld-2.19.so           [.] 0x00006fc0                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] __fput                                                                                                                                                                                                                                                                         
     0.00%  node     [kernel.kallsyms]    [k] __split_vma.isra.37                                                                                                                                                                                                                                                            
     0.00%  node     [kernel.kallsyms]    [k] cp_new_stat64                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] do_dentry_open.isra.16                                                                                                                                                                                                                                                         
     0.00%  node     [kernel.kallsyms]    [k] filp_close                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] find_mergeable_anon_vma                                                                                                                                                                                                                                                        
     0.00%  node     [kernel.kallsyms]    [k] fsnotify                                                                                                                                                                                                                                                                       
     0.00%  node     [kernel.kallsyms]    [k] generic_permission                                                                                                                                                                                                                                                             
     0.00%  node     [kernel.kallsyms]    [k] getname                                                                                                                                                                                                                                                                        
     0.00%  node     [kernel.kallsyms]    [k] move_page_tables                                                                                                                                                                                                                                                               
     0.00%  node     [kernel.kallsyms]    [k] ovl_path_lower                                                                                                                                                                                                                                                                 
     0.00%  node     [kernel.kallsyms]    [k] ovl_permission                                                                                                                                                                                                                                                                 
     0.00%  node     [kernel.kallsyms]    [k] perf_event__output_id_sample                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] perf_event_comm                                                                                                                                                                                                                                                                
     0.00%  node     [kernel.kallsyms]    [k] put_filp                                                                                                                                                                                                                                                                       
     0.00%  node     [kernel.kallsyms]    [k] put_unused_fd                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] vfs_fstat                                                                                                                                                                                                                                                                      
     0.00%  node     ld-2.19.so           [.] 0x00005a60                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000aba0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x0000cec0                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00019728                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] perf_event_exec                                                                                                                                                                                                                                                                
     0.00%  node     [kernel.kallsyms]    [k] __call_rcu.isra.6                                                                                                                                                                                                                                                              
     0.00%  node     [kernel.kallsyms]    [k] __cond_resched                                                                                                                                                                                                                                                                 
     0.00%  node     [kernel.kallsyms]    [k] __fget_light                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] __install_special_mapping                                                                                                                                                                                                                                                      
     0.00%  node     [kernel.kallsyms]    [k] __kmalloc                                                                                                                                                                                                                                                                      
     0.00%  node     [kernel.kallsyms]    [k] __mutex_init                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] __put_unused_fd                                                                                                                                                                                                                                                                
     0.00%  node     [kernel.kallsyms]    [k] __task_pid_nr_ns                                                                                                                                                                                                                                                               
     0.00%  node     [kernel.kallsyms]    [k] account                                                                                                                                                                                                                                                                        
     0.00%  node     [kernel.kallsyms]    [k] anon_vma_interval_tree_remove                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] arch_align_stack                                                                                                                                                                                                                                                               
     0.00%  node     [kernel.kallsyms]    [k] bit_waitqueue                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] cap_bprm_secureexec                                                                                                                                                                                                                                                            
     0.00%  node     [kernel.kallsyms]    [k] commit_creds                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] d_find_any_alias                                                                                                                                                                                                                                                               
     0.00%  node     [kernel.kallsyms]    [k] do_close_on_exec                                                                                                                                                                                                                                                               
     0.00%  node     [kernel.kallsyms]    [k] do_notify_resume                                                                                                                                                                                                                                                               
     0.00%  node     [kernel.kallsyms]    [k] evict                                                                                                                                                                                                                                                                          
     0.00%  node     [kernel.kallsyms]    [k] expand_downwards                                                                                                                                                                                                                                                               
     0.00%  node     [kernel.kallsyms]    [k] expand_stack                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] final_putname                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] find_get_entry                                                                                                                                                                                                                                                                 
     0.00%  node     [kernel.kallsyms]    [k] free_pipe_info                                                                                                                                                                                                                                                                 
     0.00%  node     [kernel.kallsyms]    [k] fsnotify_clear_marks_by_inode                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] generic_file_mmap                                                                                                                                                                                                                                                              
     0.00%  node     [kernel.kallsyms]    [k] get_pfnblock_flags_mask                                                                                                                                                                                                                                                        
     0.00%  node     [kernel.kallsyms]    [k] get_random_int                                                                                                                                                                                                                                                                 
     0.00%  node     [kernel.kallsyms]    [k] insert_vm_struct                                                                                                                                                                                                                                                               
     0.00%  node     [kernel.kallsyms]    [k] install_special_mapping                                                                                                                                                                                                                                                        
     0.00%  node     [kernel.kallsyms]    [k] iov_iter_init                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] iput                                                                                                                                                                                                                                                                           
     0.00%  node     [kernel.kallsyms]    [k] local_flush_tlb_page                                                                                                                                                                                                                                                           
     0.00%  node     [kernel.kallsyms]    [k] local_flush_tlb_range                                                                                                                                                                                                                                                          
     0.00%  node     [kernel.kallsyms]    [k] lockref_get                                                                                                                                                                                                                                                                    
     0.00%  node     [kernel.kallsyms]    [k] may_expand_vm                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] may_open                                                                                                                                                                                                                                                                       
     0.00%  node     [kernel.kallsyms]    [k] mntput                                                                                                                                                                                                                                                                         
     0.00%  node     [kernel.kallsyms]    [k] ovl_dir_getattr                                                                                                                                                                                                                                                                
     0.00%  node     [kernel.kallsyms]    [k] page_follow_link_light                                                                                                                                                                                                                                                         
     0.00%  node     [kernel.kallsyms]    [k] path_lookupat                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] perf_output_put_handle                                                                                                                                                                                                                                                         
     0.00%  node     [kernel.kallsyms]    [k] prepare_creds                                                                                                                                                                                                                                                                  
     0.00%  node     [kernel.kallsyms]    [k] prepend                                                                                                                                                                                                                                                                        
     0.00%  node     [kernel.kallsyms]    [k] r4k_flush_data_cache_page                                                                                                                                                                                                                                                      
     0.00%  node     [kernel.kallsyms]    [k] radix_tree_lookup_slot                                                                                                                                                                                                                                                         
     0.00%  node     [kernel.kallsyms]    [k] rcu_bh_qs                                                                                                                                                                                                                                                                      
     0.00%  node     [kernel.kallsyms]    [k] revert_creds                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] search_binary_handler                                                                                                                                                                                                                                                          
     0.00%  node     [kernel.kallsyms]    [k] set_binfmt                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] setup_new_exec                                                                                                                                                                                                                                                                 
     0.00%  node     [kernel.kallsyms]    [k] split_vma                                                                                                                                                                                                                                                                      
     0.00%  node     [kernel.kallsyms]    [k] start_thread                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] strrchr                                                                                                                                                                                                                                                                        
     0.00%  node     [kernel.kallsyms]    [k] sys_access                                                                                                                                                                                                                                                                     
     0.00%  node     [kernel.kallsyms]    [k] sys_newuname                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] unlazy_walk                                                                                                                                                                                                                                                                    
     0.00%  node     [kernel.kallsyms]    [k] user_path_at                                                                                                                                                                                                                                                                   
     0.00%  node     [kernel.kallsyms]    [k] vfs_fstatat                                                                                                                                                                                                                                                                    
     0.00%  node     [kernel.kallsyms]    [k] vfs_stat                                                                                                                                                                                                                                                                       
     0.00%  node     [kernel.kallsyms]    [k] vm_brk                                                                                                                                                                                                                                                                         
     0.00%  node     [kernel.kallsyms]    [k] vm_mmap                                                                                                                                                                                                                                                                        
     0.00%  node     [kernel.kallsyms]    [k] vma_interval_tree_augment_rotate                                                                                                                                                                                                                                               
     0.00%  node     ld-2.19.so           [.] malloc                                                                                                                                                                                                                                                                         
     0.00%  node     ld-2.19.so           [.] 0x00001014                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x000010cc                                                                                                                                                                                                                                                                     
     0.00%  node     ld-2.19.so           [.] 0x00001d40                                                                                                                                                                                                                                                                     
