# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 6199007
#
# Overhead  Command  Shared Object      Symbol                                 
# ........  .......  .................  .......................................
#
     0.15%  lua      liblua.so.5.1.5    [.] 0x00019564                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00019568                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00019580                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x00019584                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x000195a0                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0001f338                         
     0.15%  lua      liblua.so.5.1.5    [.] 0x0001f4d4                         
     0.15%  lua      libm-2.19.so       [.] 0x00093470                         
     0.15%  lua      lua                [.] __start                            
     0.15%  lua      lua                [.] 0x00002220                         
     0.12%  lua      [kernel.kallsyms]  [k] __inode_permission                 
     0.12%  lua      [kernel.kallsyms]  [k] __radix_tree_lookup                
     0.12%  lua      [kernel.kallsyms]  [k] __strnlen_kernel_nocheck_asm       
     0.12%  lua      [kernel.kallsyms]  [k] __vm_enough_memory                 
     0.12%  lua      [kernel.kallsyms]  [k] __vma_link_rb                      
     0.12%  lua      [kernel.kallsyms]  [k] anon_vma_clone                     
     0.12%  lua      [kernel.kallsyms]  [k] cap_capable                        
     0.12%  lua      [kernel.kallsyms]  [k] expand_files                       
     0.12%  lua      [kernel.kallsyms]  [k] filp_close                         
     0.12%  lua      [kernel.kallsyms]  [k] fsnotify                           
     0.12%  lua      [kernel.kallsyms]  [k] may_open                           
     0.12%  lua      [kernel.kallsyms]  [k] next_zones_zonelist                
     0.12%  lua      [kernel.kallsyms]  [k] ovl_permission                     
     0.12%  lua      [kernel.kallsyms]  [k] prepend_name                       
     0.12%  lua      [kernel.kallsyms]  [k] unlink_anon_vmas                   
     0.12%  lua      [kernel.kallsyms]  [k] unlock_page                        
     0.09%  lua      [kernel.kallsyms]  [k] __do_softirq                       
     0.08%  lua      [kernel.kallsyms]  [k] __alloc_fd                         
     0.08%  lua      [kernel.kallsyms]  [k] __lru_cache_add                    
     0.08%  lua      [kernel.kallsyms]  [k] __pte_alloc                        
     0.08%  lua      [kernel.kallsyms]  [k] __split_vma.isra.37                
     0.08%  lua      [kernel.kallsyms]  [k] __vma_link_list                    
     0.08%  lua      [kernel.kallsyms]  [k] anon_vma_prepare                   
     0.08%  lua      [kernel.kallsyms]  [k] do_sys_open                        
     0.08%  lua      [kernel.kallsyms]  [k] extract_buf                        
     0.08%  lua      [kernel.kallsyms]  [k] find_get_entry                     
     0.08%  lua      [kernel.kallsyms]  [k] generic_fillattr                   
     0.08%  lua      [kernel.kallsyms]  [k] get_unmapped_area                  
     0.08%  lua      [kernel.kallsyms]  [k] mutex_unlock                       
     0.08%  lua      [kernel.kallsyms]  [k] ovl_entry_real                     
     0.08%  lua      [kernel.kallsyms]  [k] ovl_path_type                      
     0.08%  lua      [kernel.kallsyms]  [k] page_add_file_rmap                 
     0.08%  lua      [kernel.kallsyms]  [k] page_add_new_anon_rmap             
     0.08%  lua      [kernel.kallsyms]  [k] pagecache_get_page                 
     0.08%  lua      [kernel.kallsyms]  [k] path_init                          
     0.08%  lua      [kernel.kallsyms]  [k] perf_output_copy                   
     0.08%  lua      [kernel.kallsyms]  [k] prepend                            
     0.08%  lua      [kernel.kallsyms]  [k] radix_tree_lookup_slot             
     0.08%  lua      [kernel.kallsyms]  [k] reusable_anon_vma                  
     0.08%  lua      [kernel.kallsyms]  [k] setup_arg_pages                    
     0.08%  lua      [kernel.kallsyms]  [k] strlen                             
     0.08%  lua      [kernel.kallsyms]  [k] touch_atime                        
     0.08%  lua      [kernel.kallsyms]  [k] unmap_vmas                         
     0.08%  lua      [kernel.kallsyms]  [k] vfs_fstat                          
     0.08%  lua      [kernel.kallsyms]  [k] vfs_getattr_nosec                  
     0.08%  lua      [kernel.kallsyms]  [k] vm_stat_account                    
     0.08%  lua      [kernel.kallsyms]  [k] vma_gap_update                     
     0.08%  lua      [kernel.kallsyms]  [k] vma_set_page_prot                  
     0.08%  lua      [kernel.kallsyms]  [k] vma_wants_writenotify              
     0.08%  lua      [kernel.kallsyms]  [k] vmacache_update                    
     0.08%  lua      [mt_wifi]          [k] RTMP_COM_IoctlHandle               
     0.08%  lua      ld-2.19.so         [.] __libc_memalign                    
     0.08%  lua      ld-2.19.so         [.] 0x00000fe0                         
     0.08%  lua      ld-2.19.so         [.] 0x00005738                         
     0.08%  lua      ld-2.19.so         [.] 0x000064c0                         
     0.08%  lua      ld-2.19.so         [.] 0x000105b4                         
     0.08%  lua      ld-2.19.so         [.] 0x00018bbc                         
     0.08%  lua      ld-2.19.so         [.] 0x00018f10                         
     0.08%  lua      ld-2.19.so         [.] 0x0001967c                         
     0.05%  lua      [kernel.kallsyms]  [k] call_timer_fn.isra.38              
     0.04%  lua      [kernel.kallsyms]  [k] __ashldi3                          
     0.04%  lua      [kernel.kallsyms]  [k] __call_rcu.isra.6                  
     0.04%  lua      [kernel.kallsyms]  [k] __d_lookup                         
     0.04%  lua      [kernel.kallsyms]  [k] __dentry_kill                      
     0.04%  lua      [kernel.kallsyms]  [k] __fget_light                       
     0.04%  lua      [kernel.kallsyms]  [k] __fput                             
     0.04%  lua      [kernel.kallsyms]  [k] __fsnotify_parent                  
     0.04%  lua      [kernel.kallsyms]  [k] __module_get                       
