# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 18K of event 'cycles'
# Event count (approx.): 1004956412
#
# Overhead  Command  Shared Object        Symbol                                    
# ........  .......  ...................  ..........................................
#
     0.07%  python   libpython2.7.so.1.0  [.] PyObject_GetAttr                      
     0.07%  python   libc-2.19.so         [.] 0x00072538                            
     0.07%  python   libpython2.7.so.1.0  [.] intern_strings                        
     0.07%  python   libc-2.19.so         [.] 0x00073060                            
     0.07%  python   libpython2.7.so.1.0  [.] list2dict                             
     0.07%  python   libpython2.7.so.1.0  [.] code_hash                             
     0.07%  python   libpython2.7.so.1.0  [.] PyObject_Malloc                       
     0.06%  python   libc-2.19.so         [.] 0x00072594                            
     0.06%  python   libpython2.7.so.1.0  [.] PyObject_GC_Del                       
     0.06%  python   libpython2.7.so.1.0  [.] _PyTuple_MaybeUntrack                 
     0.06%  python   libpython2.7.so.1.0  [.] tupletraverse                         
     0.06%  python   libc-2.19.so         [.] 0x00073ed8                            
     0.06%  python   libc-2.19.so         [.] 0x0007258c                            
     0.06%  python   libc-2.19.so         [.] 0x000741a4                            
     0.06%  python   libc-2.19.so         [.] 0x00074584                            
     0.06%  python   libpython2.7.so.1.0  [.] PyList_AsTuple                        
     0.06%  python   libc-2.19.so         [.] 0x00074fc4                            
     0.06%  python   libpython2.7.so.1.0  [.] listextend                            
     0.06%  python   libc-2.19.so         [.] 0x00074134                            
     0.06%  python   libpython2.7.so.1.0  [.] analyze_name                          
     0.06%  python   libc-2.19.so         [.] 0x00073f70                            
     0.06%  python   libc-2.19.so         [.] 0x00071674                            
     0.06%  python   libpython2.7.so.1.0  [.] compiler_make_closure                 
     0.06%  python   libpython2.7.so.1.0  [.] compiler_enter_scope                  
     0.06%  python   libpython2.7.so.1.0  [.] makecode                              
     0.06%  python   libc-2.19.so         [.] 0x00073040                            
     0.06%  python   libc-2.19.so         [.] 0x00073180                            
     0.06%  python   libc-2.19.so         [.] 0x0007403c                            
     0.06%  python   libc-2.19.so         [.] 0x000745fc                            
     0.06%  python   libc-2.19.so         [.] 0x00075588                            
     0.06%  python   libc-2.19.so         [.] 0x00073014                            
     0.06%  python   libpython2.7.so.1.0  [.] compiler_if                           
     0.06%  python   libc-2.19.so         [.] 0x000741b0                            
     0.06%  python   libpython2.7.so.1.0  [.] code_dealloc                          
     0.06%  python   libpython2.7.so.1.0  [.] list_traverse                         
     0.06%  python   libc-2.19.so         [.] 0x000741bc                            
     0.06%  python   libc-2.19.so         [.] 0x0007419c                            
     0.06%  python   libc-2.19.so         [.] 0x00072548                            
     0.06%  python   libc-2.19.so         [.] 0x000741dc                            
     0.06%  python   libpython2.7.so.1.0  [.] ast_for_call                          
     0.06%  python   libc-2.19.so         [.] 0x00073c08                            
     0.06%  python   [kernel.kallsyms]    [k] get_page_from_freelist                
     0.05%  python   libc-2.19.so         [.] 0x00074834                            
     0.05%  python   libc-2.19.so         [.] 0x000731fc                            
     0.05%  python   libc-2.19.so         [.] 0x000745a4                            
     0.05%  python   [kernel.kallsyms]    [k] unmap_single_vma                      
     0.05%  python   libpython2.7.so.1.0  [.] call_function                         
     0.05%  python   libc-2.19.so         [.] 0x00073e9c                            
     0.05%  python   libc-2.19.so         [.] 0x000734d4                            
     0.05%  python   libc-2.19.so         [.] 0x00073300                            
     0.05%  python   libc-2.19.so         [.] 0x00074224                            
     0.05%  python   libpython2.7.so.1.0  [.] ast_for_if_stmt                       
     0.05%  python   libc-2.19.so         [.] 0x00073c20                            
     0.05%  python   libpython2.7.so.1.0  [.] move_unreachable                      
     0.05%  python   libpython2.7.so.1.0  [.] PyDict_DelItem                        
     0.05%  python   libpython2.7.so.1.0  [.] find_module                           
     0.05%  python   libpython2.7.so.1.0  [.] ast_for_suite                         
     0.05%  python   libc-2.19.so         [.] 0x0007304c                            
     0.05%  python   libc-2.19.so         [.] 0x000731f8                            
     0.05%  python   libc-2.19.so         [.] 0x00072ffc                            
     0.05%  python   libc-2.19.so         [.] 0x000725ac                            
     0.05%  python   libpython2.7.so.1.0  [.] _PyObject_GenericGetAttrWithDict      
     0.05%  python   libc-2.19.so         [.] 0x000731c0                            
     0.05%  python   libc-2.19.so         [.] 0x00073228                            
     0.05%  python   libpython2.7.so.1.0  [.] PyToken_OneChar                       
     0.05%  python   libc-2.19.so         [.] 0x00074140                            
     0.05%  python   libc-2.19.so         [.] 0x00073ec0                            
     0.05%  python   libc-2.19.so         [.] 0x00073ee4                            
     0.05%  python   libc-2.19.so         [.] 0x000745a0                            
     0.05%  python   libpython2.7.so.1.0  [.] count_run                             
     0.05%  python   libc-2.19.so         [.] 0x00071670                            
     0.05%  python   libc-2.19.so         [.] 0x000747e0                            
     0.05%  python   libc-2.19.so         [.] 0x00074604                            
     0.05%  python   libpython2.7.so.1.0  [.] symtable_visit_params                 
     0.05%  python   libc-2.19.so         [.] 0x00072524                            
     0.05%  python   libc-2.19.so         [.] 0x0007326c                            
     0.05%  python   libc-2.19.so         [.] 0x00074110                            
     0.05%  python   [kernel.kallsyms]    [k] set_pte_at                            
     0.05%  python   libpython2.7.so.1.0  [.] compiler_class                        
     0.05%  python   libc-2.19.so         [.] 0x0007301c                            
     0.05%  python   libpython2.7.so.1.0  [.] func_traverse                         
     0.05%  python   libpython2.7.so.1.0  [.] frame_dealloc                         
     0.05%  python   libc-2.19.so         [.] 0x00073ed0                            
     0.05%  python   libpython2.7.so.1.0  [.] compiler_addop_o                      
